OBJECTID,COUNTY_NAM,code,name,COUNTY_ASS,COUNTY_A_1,REGIST_CEN,REGISTRATI,countyCode,Shape_Leng,Shape_Area
40,GARISSA,27.000000000000000,GARISSA TOWNSHIP,135.000000000000000,BALAMBALA,0.000000000000000,,7.000000000000000,2.195943408660000,0.087831746730000
41,GARISSA,31.000000000000000,FAFI,0.000000000000000,,0.000000000000000,,7.000000000000000,5.274880348000000,1.347379868560000
42,GARISSA,29.000000000000000,LAGDERA,142.000000000000000,GOREALE,0.000000000000000,,7.000000000000000,4.059383888460000,0.524316711360000
43,WAJIR,36.000000000000000,WAJIR WEST,0.000000000000000,,0.000000000000000,,8.000000000000000,4.203602331370000,0.600053651270000
44,WAJIR,33.000000000000000,WAJIR NORTH,0.000000000000000,,0.000000000000000,,8.000000000000000,4.662492600530000,0.787363100840000
45,WAJIR,38.000000000000000,WAJIR SOUTH,0.000000000000000,,0.000000000000000,,8.000000000000000,5.307348763020000,1.753475249110000
46,WAJIR,35.000000000000000,TARBAJ,0.000000000000000,,0.000000000000000,,8.000000000000000,3.604599857770000,0.613318635270000
47,WAJIR,37.000000000000000,ELDAS,0.000000000000000,,0.000000000000000,,8.000000000000000,4.246299858100000,0.503803960700000
48,WAJIR,34.000000000000000,WAJIR EAST,0.000000000000000,,0.000000000000000,,8.000000000000000,2.972500135870000,0.347727343460000
49,MANDERA,42.000000000000000,MANDERA SOUTH,0.000000000000000,,0.000000000000000,,9.000000000000000,3.693565524040000,0.468448307300000
50,MANDERA,41.000000000000000,MANDERA NORTH,0.000000000000000,,0.000000000000000,,9.000000000000000,3.287573651550000,0.453250840320000
51,MANDERA,39.000000000000000,MANDERA WEST,0.000000000000000,,0.000000000000000,,9.000000000000000,3.241124043610000,0.421131480520000
52,MANDERA,40.000000000000000,BANISSA,0.000000000000000,,0.000000000000000,,9.000000000000000,2.808101438730000,0.275419747490000
53,MARSABIT,46.000000000000000,NORTH HORR,0.000000000000000,,0.000000000000000,,10.000000000000000,8.776551211550000,3.299841722330000
54,MARSABIT,45.000000000000000,MOYALE,0.000000000000000,,0.000000000000000,,10.000000000000000,4.770972116100000,0.760169532240000
55,MARSABIT,48.000000000000000,LAISAMIS,0.000000000000000,,0.000000000000000,,10.000000000000000,8.583932815490000,1.956758666730000
56,MARSABIT,47.000000000000000,SAKU,0.000000000000000,,0.000000000000000,,10.000000000000000,1.646377091220000,0.165878457880000
57,ISIOLO,49.000000000000000,ISIOLO NORTH,0.000000000000000,,0.000000000000000,,11.000000000000000,9.047598344690000,1.244861424040000
58,ISIOLO,50.000000000000000,ISIOLO SOUTH,0.000000000000000,,0.000000000000000,,11.000000000000000,5.171916313670000,0.818726215530000
59,MERU,56.000000000000000,NORTH IMENTI,0.000000000000000,,0.000000000000000,,12.000000000000000,1.128131071220000,0.024510284900000
60,MERU,54.000000000000000,TIGANIA WEST,0.000000000000000,,0.000000000000000,,12.000000000000000,1.128131279070000,0.031734507530000
61,MERU,59.000000000000000,SOUTH IMENTI,0.000000000000000,,0.000000000000000,,12.000000000000000,1.299152064820000,0.053655387770000
62,MERU,57.000000000000000,BUURI,0.000000000000000,,0.000000000000000,,12.000000000000000,1.844585745650000,0.128570621800000
63,MERU,51.000000000000000,IGEMBE SOUTH,0.000000000000000,,0.000000000000000,,12.000000000000000,1.682096755670000,0.068480897700000
64,MERU,52.000000000000000,IGEMBE CENTRAL,0.000000000000000,,0.000000000000000,,12.000000000000000,2.101545886450000,0.064747333560000
65,MERU,55.000000000000000,TIGANIA EAST,0.000000000000000,,0.000000000000000,,12.000000000000000,1.658039259670000,0.067641954890000
66,MERU,58.000000000000000,CENTRAL IMENTI,0.000000000000000,,0.000000000000000,,12.000000000000000,1.517072465380000,0.040949449060000
67,MERU,53.000000000000000,IGEMBE NORTH,0.000000000000000,,0.000000000000000,,12.000000000000000,1.280287945340000,0.087339164650000
68,THARAKA - NITHI,60.000000000000000,MAARA,0.000000000000000,,0.000000000000000,,13.000000000000000,1.307102226840000,0.041025001550000
69,THARAKA - NITHI,62.000000000000000,THARAKA,0.000000000000000,,0.000000000000000,,13.000000000000000,1.944655999800000,0.120003810140000
70,THARAKA - NITHI,61.000000000000000,CHUKA/IGAMBANG'OMBE,0.000000000000000,,0.000000000000000,,13.000000000000000,1.561984792050000,0.048504261310000
71,EMBU,64.000000000000000,RUNYENJES,64.000000000000000,,0.000000000000000,,14.000000000000000,1.227733662110000,0.027129242150000
72,EMBU,66.000000000000000,MBEERE NORTH,0.000000000000000,,0.000000000000000,,14.000000000000000,1.508700363360000,0.062565183270000
73,EMBU,63.000000000000000,MANYATTA,0.000000000000000,,0.000000000000000,,14.000000000000000,1.166338402860000,0.032088136240000
74,EMBU,65.000000000000000,MBEERE SOUTH,0.000000000000000,,0.000000000000000,,14.000000000000000,2.198152786370000,0.107430642510000
75,KITUI,73.000000000000000,KITUI EAST,0.000000000000000,,0.000000000000000,,15.000000000000000,3.181757938290000,0.383868679340000
76,KITUI,70.000000000000000,KITUI WEST,0.000000000000000,,0.000000000000000,,15.000000000000000,3.033063495770000,0.150058314200000
77,KITUI,71.000000000000000,KITUI RURAL,0.000000000000000,,0.000000000000000,,15.000000000000000,0.990922323650000,0.029050445180000
78,KITUI,74.000000000000000,KITUI SOUTH,0.000000000000000,,0.000000000000000,,15.000000000000000,6.039996675850000,1.034233628330000
